fJ@@	Ammonia
diFD@BADf{Yjjhr@@	Leucine
diFDABADxiR[mfjjcH@	Leucine
diEL@BDDyInvZjZL`@	Asparagine
diELABDDyNJTf{Yjihr@@	Asparagine
deeL@BdDEInufji`@	Glutamine
deeLABdDENJTf{VZjf@@	Glutamine
dctd@BE]ADf{UYjji`@	Arginine
dctdABE]ADxiR[mUfjjf@@	Arginine
dctdCBE]ADxiVTf{UYjji`@	Arginine
gNy`BDtf{Zjf`@	Serine
gNy`bDuqeInvjih@	Serine
dazL@BAFR[nZjdrT`@	Threonine
dazLABAFSbeInyjjSIR@	Threonine
dazD@BADf{fjjL`@	Valine
dazDABADxiR[nZjhr@@	Valine
dk]@@@uJYU_lkihDHj`@@	Alpha-Methyltryptamine
eFHBJ@	Formaldehyde
eM`AIx@	Acetonitrile
gKihULQdBUNx|`lt@@	Potassium nitrate
gCah`mJ@SNRYh@	Boric acid
gCah@mJAIj`@	Boric acid
fnnAEaDTYpTeV]xLTyKUhMBFab`IPZhCT@IaNNIv@ZJQRIM@@@@BuHuUUUU@@@	Borax
daGH@Di`RYUJffj@@	Creatinine
daGH@Di`RYUJfjZ@@	Creatinine
f`aqpCHRtACCV]zDhzTzfw^yInYy[aJZBBIf@@@	Picric acid
fHtPx@	Chloride
eMDARV@	Formic acid
gJPXHlPYQzj@@	Osmium tetroxide
daxDPDpOBICIICiMU@@	Sarin
fnk@`@@UrJIJZIPiSQHrcEZ]zNVfjjjjjZjXqBViZ^TT@	Progesterone
dcNH@FAIfYWgZ`hHDbY@@	Pseudoephedrine
emWRF@@DMBhPEmlRQ\bbTRRLRbVRbRbbRNTTRaRHhl\zFiYZfYijjijfjZffYe`DFIz@	Bilirubin
emWRF@@DMBhPEmlRQ\bbTRRLRbVRbRbbRNTTRaRHhl\zFiYZfYijjijfjZffYe`DFEy@	Bilirubin
fJRP@	Ammonium
didH@@RYm^Eh@@@@	Acetophenone
eFPBc@@	Hydrazine
dk^L@A@cRYgUeneVfVjj@@	Adrenochrome
fhiIP@DDhpDc^BdwJ|lzsfkMMMUUUDDeKTm@@	Ribavirin
gCi@DDeV@@	Methyl isocyanate
dedF@@PfFTf{nZjf@@	Tartaric acid
eDARHm@zd@@	Sodium chloride
e`t~@b@LAHY]W_ZECHlbjnaicolV^QP@aKpZ|D_CHdeLdiiiDUImIlheDdhiMEUd|BkkZ{UMTuUTuMUUUUM@`UAFtncrAP@	Coenzyme A
dcNHPMT@b@cIDhTdiaUUUMPd@	Lipoamide
fbypr@L\BpSoIr@HrIQJJ[IJJVUTsUSTrDJr@@	Glutathione
eMHAIXG|U`	Acetyl group
dcLDPEt@b@cIDhTdiaUUUMPd@	Lipoic acid
gGQ`@bdwML@@	Pyruvic acid
gNq`@jdvsTp@	Acetoacetic acid
gC`LADJHtPduP@	Chloroform
dmvD@DATf^Uqej@B@@	Paracetamol
gJPXhlPD[ct^m@@	Sulfate
f`aA@@@ILsKWRpTADUUP@@	Butylated hydroxytoluene
